displacement:0,displacement:1,Points:0,Points:1,Points:2
0.000227492,-1.03846e-05,-0.101653,0,0
-0.000217354,1.06336e-05,0.101653,0,0
-0.000254264,-9.90919e-05,0.0991435,0,0
-0.000268837,-0.000149996,0.0966335,0,0
-0.000275414,-0.000190981,0.0941236,0,0
-0.000279439,-0.000224061,0.0916136,0,0
-0.000281901,-0.00025253,0.0891037,0,0
-0.000283327,-0.000277635,0.0865937,0,0
-0.00028397,-0.000300184,0.0840837,0,0
-0.000283994,-0.000320682,0.0815738,0,0
-0.000283507,-0.00033948,0.0790638,0,0
-0.000282587,-0.000356832,0.0765538,0,0
-0.000281292,-0.000372928,0.0740439,0,0
-0.000279668,-0.000387917,0.0715339,0,0
-0.000277749,-0.000401915,0.069024,0,0
-0.000275565,-0.000415017,0.066514,0,0
-0.000273138,-0.000427301,0.064004,0,0
-0.000270489,-0.000438833,0.0614941,0,0
-0.000267633,-0.000449666,0.0589841,0,0
-0.000264585,-0.000459847,0.0564741,0,0
-0.000261356,-0.000469417,0.0539642,0,0
-0.000257957,-0.000478409,0.0514542,0,0
-0.000254396,-0.000486854,0.0489443,0,0
-0.000250682,-0.000494779,0.0464343,0,0
-0.000246821,-0.000502205,0.0439243,0,0
-0.00024282,-0.000509153,0.0414144,0,0
-0.000238683,-0.000515642,0.0389044,0,0
-0.000234415,-0.000521687,0.0363945,0,0
-0.000230021,-0.000527303,0.0338845,0,0
-0.000225505,-0.000532501,0.0313745,0,0
-0.000220869,-0.000537293,0.0288646,0,0
-0.000216116,-0.000541688,0.0263546,0,0
-0.000211249,-0.000545695,0.0238446,0,0
-0.00020627,-0.000549323,0.0213347,0,0
-0.000201182,-0.000552576,0.0188247,0,0
-0.000195985,-0.000555462,0.0163148,0,0
-0.000190682,-0.000557985,0.0138048,0,0
-0.000185273,-0.000560148,0.0112948,0,0
-0.00017976,-0.000561956,0.00878487,0,0
-0.000174143,-0.000563411,0.00627491,0,0
-0.000168423,-0.000564514,0.00376494,0,0
-0.0001626,-0.000565268,0.00125498,0,0
-0.000156674,-0.000565673,-0.00125498,0,0
-0.000150647,-0.000565729,-0.00376494,0,0
-0.000144516,-0.000565434,-0.00627491,0,0
-0.000138282,-0.000564789,-0.00878487,0,0
-0.000131945,-0.00056379,-0.0112948,0,0
-0.000125503,-0.000562436,-0.0138048,0,0
-0.000118956,-0.000560722,-0.0163148,0,0
-0.000112302,-0.000558646,-0.0188247,0,0
-0.00010554,-0.000556201,-0.0213347,0,0
-9.86685e-05,-0.000553382,-0.0238446,0,0
-9.16852e-05,-0.000550182,-0.0263546,0,0
-8.4588e-05,-0.000546595,-0.0288646,0,0
-7.73743e-05,-0.000542611,-0.0313745,0,0
-7.00412e-05,-0.00053822,-0.0338845,0,0
-6.25855e-05,-0.000533412,-0.0363945,0,0
-5.50035e-05,-0.000528173,-0.0389044,0,0
-4.72911e-05,-0.00052249,-0.0414144,0,0
-3.94434e-05,-0.000516348,-0.0439243,0,0
-3.14553e-05,-0.000509727,-0.0464343,0,0
-2.33207e-05,-0.000502607,-0.0489443,0,0
-1.50327e-05,-0.000494967,-0.0514542,0,0
-6.58363e-06,-0.000486778,-0.0539642,0,0
2.03555e-06,-0.000478012,-0.0564741,0,0
1.08351e-05,-0.000468633,-0.0589841,0,0
1.98269e-05,-0.000458602,-0.0614941,0,0
2.90248e-05,-0.000447872,-0.064004,0,0
3.84452e-05,-0.000436388,-0.066514,0,0
4.81077e-05,-0.000424086,-0.069024,0,0
5.80354e-05,-0.000410888,-0.0715339,0,0
6.82571e-05,-0.000396698,-0.0740439,0,0
7.88082e-05,-0.000381399,-0.0765538,0,0
8.97335e-05,-0.000364845,-0.0790638,0,0
0.000101091,-0.000346843,-0.0815738,0,0
0.00011296,-0.00032714,-0.0840837,0,0
0.000125448,-0.000305386,-0.0865937,0,0
0.000138715,-0.000281074,-0.0891037,0,0
0.000153017,-0.000253396,-0.0916136,0,0
0.000168755,-0.000221064,-0.0941236,0,0
0.000186834,-0.000180762,-0.0966335,0,0
0.000207053,-0.000128571,-0.0991435,0,0
