displacement:0,displacement:1,Points:0,Points:1,Points:2
0.000227492,-1.03846e-05,-0.101653,0,0
-0.000217354,1.06336e-05,0.101653,0,0
0.000264401,9.93399e-05,-0.0991435,0,0
0.000278973,0.000150243,-0.0966335,0,0
0.000285548,0.000191226,-0.0941236,0,0
0.000289573,0.000224304,-0.0916136,0,0
0.000292033,0.000252773,-0.0891037,0,0
0.000293458,0.000277876,-0.0865937,0,0
0.000294101,0.000300423,-0.0840837,0,0
0.000294124,0.00032092,-0.0815738,0,0
0.000293636,0.000339716,-0.0790638,0,0
0.000292715,0.000357067,-0.0765538,0,0
0.00029142,0.000373162,-0.0740439,0,0
0.000289795,0.000388149,-0.0715339,0,0
0.000287875,0.000402145,-0.069024,0,0
0.00028569,0.000415246,-0.066514,0,0
0.000283263,0.00042753,-0.064004,0,0
0.000280613,0.00043906,-0.0614941,0,0
0.000277757,0.000449892,-0.0589841,0,0
0.000274708,0.000460072,-0.0564741,0,0
0.000271479,0.000469641,-0.0539642,0,0
0.000268079,0.000478632,-0.0514542,0,0
0.000264518,0.000487076,-0.0489443,0,0
0.000260804,0.000494999,-0.0464343,0,0
0.000256942,0.000502425,-0.0439243,0,0
0.00025294,0.000509372,-0.0414144,0,0
0.000248803,0.00051586,-0.0389044,0,0
0.000244535,0.000521905,-0.0363945,0,0
0.000240141,0.000527519,-0.0338845,0,0
0.000235624,0.000532717,-0.0313745,0,0
0.000230988,0.000537508,-0.0288646,0,0
0.000226235,0.000541903,-0.0263546,0,0
0.000221367,0.00054591,-0.0238446,0,0
0.000216389,0.000549536,-0.0213347,0,0
0.0002113,0.00055279,-0.0188247,0,0
0.000206103,0.000555675,-0.0163148,0,0
0.0002008,0.000558197,-0.0138048,0,0
0.000195391,0.00056036,-0.0112948,0,0
0.000189878,0.000562168,-0.00878487,0,0
0.000184261,0.000563622,-0.00627491,0,0
0.00017854,0.000564726,-0.00376494,0,0
0.000172718,0.000565479,-0.00125498,0,0
0.000166792,0.000565884,0.00125498,0,0
0.000160765,0.000565939,0.00376494,0,0
0.000154634,0.000565645,0.00627491,0,0
0.0001484,0.000565,0.00878487,0,0
0.000142063,0.000564001,0.0112948,0,0
0.000135622,0.000562647,0.0138048,0,0
0.000129075,0.000560934,0.0163148,0,0
0.000122421,0.000558857,0.0188247,0,0
0.000115659,0.000556412,0.0213347,0,0
0.000108788,0.000553594,0.0238446,0,0
0.000101805,0.000550395,0.0263546,0,0
9.4708e-05,0.000546808,0.0288646,0,0
8.74946e-05,0.000542824,0.0313745,0,0
8.01619e-05,0.000538434,0.0338845,0,0
7.27066e-05,0.000533626,0.0363945,0,0
6.5125e-05,0.000528388,0.0389044,0,0
5.7413e-05,0.000522706,0.0414144,0,0
4.95658e-05,0.000516564,0.0439243,0,0
4.15782e-05,0.000509944,0.0464343,0,0
3.3444e-05,0.000502825,0.0489443,0,0
2.51566e-05,0.000495186,0.0514542,0,0
1.6708e-05,0.000486998,0.0539642,0,0
8.08944e-06,0.000478232,0.0564741,0,0
-7.09501e-07,0.000468855,0.0589841,0,0
-9.70067e-06,0.000458825,0.0614941,0,0
-1.8898e-05,0.000448096,0.064004,0,0
-2.83178e-05,0.000436613,0.066514,0,0
-3.79795e-05,0.000424313,0.069024,0,0
-4.79066e-05,0.000411115,0.0715339,0,0
-5.81276e-05,0.000396927,0.0740439,0,0
-6.86779e-05,0.00038163,0.0765538,0,0
-7.96025e-05,0.000365077,0.0790638,0,0
-9.09596e-05,0.000347076,0.0815738,0,0
-0.000102827,0.000327375,0.0840837,0,0
-0.000115314,0.000305623,0.0865937,0,0
-0.00012858,0.000281312,0.0891037,0,0
-0.000142882,0.000253636,0.0916136,0,0
-0.000158619,0.000221306,0.0941236,0,0
-0.000176698,0.000181006,0.0966335,0,0
-0.000196916,0.000128817,0.0991435,0,0
