displacement:0,displacement:1,Points:0,Points:1,Points:2
0,0,-0.119274,0,0
0,0,0.119274,0,0
9.25071e-05,0.000135035,-0.114198,0,0
0.000135442,0.000203185,-0.109123,0,0
0.000159239,0.000259556,-0.104047,0,0
0.0001757,0.000305094,-0.0989717,0,0
0.000187785,0.000344059,-0.0938962,0,0
0.000196974,0.000378068,-0.0888207,0,0
0.000204017,0.000408207,-0.0837453,0,0
0.000209385,0.000435159,-0.0786698,0,0
0.000213388,0.000459402,-0.0735943,0,0
0.000216247,0.000481282,-0.0685189,0,0
0.000218124,0.000501058,-0.0634434,0,0
0.000219143,0.00051893,-0.0583679,0,0
0.0002194,0.000535055,-0.0532924,0,0
0.000218971,0.000549558,-0.048217,0,0
0.000217919,0.000562541,-0.0431415,0,0
0.000216295,0.000574084,-0.038066,0,0
0.000214141,0.000584253,-0.0329906,0,0
0.000211492,0.000593102,-0.0279151,0,0
0.000208379,0.000600672,-0.0228396,0,0
0.000204826,0.000606998,-0.0177641,0,0
0.000200856,0.000612103,-0.0126887,0,0
0.000196486,0.000616006,-0.00761321,0,0
0.000191731,0.000618716,-0.00253774,0,0
0.000186606,0.000620237,0.00253774,0,0
0.000181121,0.000620567,0.00761321,0,0
0.000175284,0.000619696,0.0126887,0,0
0.000169103,0.000617609,0.0177641,0,0
0.000162584,0.000614281,0.0228396,0,0
0.000155731,0.000609683,0.0279151,0,0
0.000148546,0.000603773,0.0329906,0,0
0.000141029,0.000596502,0.038066,0,0
0.000133181,0.000587809,0.0431415,0,0
0.000124999,0.000577616,0.048217,0,0
0.000116479,0.00056583,0.0532924,0,0
0.000107615,0.000552337,0.0583679,0,0
9.83986e-05,0.000536993,0.0634434,0,0
8.88202e-05,0.000519619,0.0685189,0,0
7.88666e-05,0.000499987,0.0735943,0,0
6.85217e-05,0.000477799,0.0786698,0,0
5.77664e-05,0.000452657,0.0837453,0,0
4.65779e-05,0.00042401,0.0888207,0,0
3.49341e-05,0.000391062,0.0938962,0,0
2.28094e-05,0.000352541,0.0989717,0,0
1.0304e-05,0.000306468,0.104047,0,0
-2.45409e-06,0.000247663,0.109123,0,0
-1.05941e-05,0.000171853,0.114198,0,0
