displacement:0,displacement:1,Points:0,Points:1,Points:2
0,0,-0.1185,0,0
0,0,0.1185,0,0
9.17372e-05,0.000134141,-0.113457,0,0
0.000134461,0.000201838,-0.108415,0,0
0.000158146,0.000257847,-0.103372,0,0
0.000174518,0.000303102,-0.0983298,0,0
0.000186534,0.000341821,-0.0932872,0,0
0.000195669,0.000375616,-0.0882447,0,0
0.000202671,0.000405565,-0.0832021,0,0
0.000208007,0.000432347,-0.0781596,0,0
0.000211987,0.000456437,-0.073117,0,0
0.00021483,0.000478178,-0.0680745,0,0
0.000216697,0.000497829,-0.0630319,0,0
0.000217712,0.000515587,-0.0579894,0,0
0.000217968,0.00053161,-0.0529468,0,0
0.000217544,0.000546021,-0.0479043,0,0
0.000216501,0.000558922,-0.0428617,0,0
0.000214888,0.000570391,-0.0378191,0,0
0.00021275,0.000580496,-0.0327766,0,0
0.00021012,0.000589289,-0.027734,0,0
0.000207028,0.000596812,-0.0226915,0,0
0.000203499,0.000603098,-0.0176489,0,0
0.000199556,0.000608171,-0.0126064,0,0
0.000195215,0.000612049,-0.00756383,0,0
0.000190493,0.000614742,-0.00252128,0,0
0.000185401,0.000616254,0.00252128,0,0
0.000179952,0.000616582,0.00756383,0,0
0.000174154,0.000615717,0.0126064,0,0
0.000168015,0.000613643,0.0176489,0,0
0.000161539,0.000610337,0.0226915,0,0
0.00015473,0.000605768,0.027734,0,0
0.000147592,0.000599897,0.0327766,0,0
0.000140124,0.000592673,0.0378191,0,0
0.000132327,0.000584035,0.0428617,0,0
0.000124198,0.000573907,0.0479043,0,0
0.000115733,0.000562196,0.0529468,0,0
0.000106926,0.000548789,0.0579894,0,0
9.77687e-05,0.000533543,0.0630319,0,0
8.82516e-05,0.00051628,0.0680745,0,0
7.83613e-05,0.000496772,0.073117,0,0
6.8082e-05,0.000474724,0.0781596,0,0
5.73946e-05,0.000449741,0.0832021,0,0
4.62763e-05,0.000421275,0.0882447,0,0
3.47051e-05,0.000388533,0.0932872,0,0
2.26562e-05,0.000350253,0.0983298,0,0
1.023e-05,0.000304462,0.103372,0,0
-2.43304e-06,0.000246023,0.108415,0,0
-1.04752e-05,0.000170667,0.113457,0,0
