displacement:0,displacement:1,Points:0,Points:1,Points:2
0,0,-0.100413,0,0
0,0,0.100413,0,0
3.6478e-05,3.69166e-05,-0.0997877,0,0
5.54969e-05,5.71358e-05,-0.0991621,0,0
6.75143e-05,7.46372e-05,-0.0985365,0,0
7.67182e-05,8.93223e-05,-0.0979109,0,0
8.42712e-05,0.000102341,-0.0972852,0,0
9.07443e-05,0.000114129,-0.0966596,0,0
9.64327e-05,0.000124983,-0.096034,0,0
0.00010152,0.000135092,-0.0954083,0,0
0.000106127,0.000144586,-0.0947827,0,0
0.000110341,0.00015356,-0.0941571,0,0
0.000114223,0.000162089,-0.0935315,0,0
0.000117823,0.000170227,-0.0929058,0,0
0.000121178,0.000178021,-0.0922802,0,0
0.000124319,0.000185506,-0.0916546,0,0
0.000127268,0.000192714,-0.0910289,0,0
0.000130047,0.000199669,-0.0904033,0,0
0.000132673,0.000206393,-0.0897777,0,0
0.000135159,0.000212905,-0.0891521,0,0
0.000137518,0.00021922,-0.0885264,0,0
0.000139761,0.000225353,-0.0879008,0,0
0.000141896,0.000231316,-0.0872752,0,0
0.000143932,0.00023712,-0.0866495,0,0
0.000145875,0.000242774,-0.0860239,0,0
0.000147733,0.000248287,-0.0853983,0,0
0.00014951,0.000253667,-0.0847727,0,0
0.000151211,0.000258921,-0.084147,0,0
0.000152841,0.000264056,-0.0835214,0,0
0.000154404,0.000269076,-0.0828958,0,0
0.000155904,0.000273988,-0.0822701,0,0
0.000157345,0.000278797,-0.0816445,0,0
0.000158728,0.000283506,-0.0810189,0,0
0.000160057,0.00028812,-0.0803933,0,0
0.000161335,0.000292643,-0.0797676,0,0
0.000162564,0.000297078,-0.079142,0,0
0.000163745,0.000301428,-0.0785164,0,0
0.000164882,0.000305697,-0.0778907,0,0
0.000165976,0.000309888,-0.0772651,0,0
0.000167029,0.000314003,-0.0766395,0,0
0.000168042,0.000318044,-0.0760139,0,0
0.000169017,0.000322015,-0.0753882,0,0
0.000169956,0.000325916,-0.0747626,0,0
0.000170859,0.000329751,-0.074137,0,0
0.000171728,0.000333521,-0.0735113,0,0
0.000172564,0.000337228,-0.0728857,0,0
0.000173368,0.000340874,-0.0722601,0,0
0.000174142,0.00034446,-0.0716345,0,0
0.000174886,0.000347988,-0.0710088,0,0
0.000175601,0.00035146,-0.0703832,0,0
0.000176288,0.000354876,-0.0697576,0,0
0.000176948,0.000358238,-0.0691319,0,0
0.000177581,0.000361548,-0.0685063,0,0
0.000178189,0.000364807,-0.0678807,0,0
0.000178773,0.000368015,-0.0672551,0,0
0.000179332,0.000371175,-0.0666294,0,0
0.000179867,0.000374286,-0.0660038,0,0
0.00018038,0.00037735,-0.0653782,0,0
0.00018087,0.000380368,-0.0647525,0,0
0.000181338,0.00038334,-0.0641269,0,0
0.000181785,0.000386269,-0.0635013,0,0
0.000182211,0.000389154,-0.0628757,0,0
0.000182618,0.000391996,-0.06225,0,0
0.000183004,0.000394796,-0.0616244,0,0
0.000183371,0.000397555,-0.0609988,0,0
0.000183719,0.000400274,-0.0603731,0,0
0.000184048,0.000402953,-0.0597475,0,0
0.00018436,0.000405592,-0.0591219,0,0
0.000184653,0.000408193,-0.0584963,0,0
0.00018493,0.000410757,-0.0578706,0,0
0.000185189,0.000413283,-0.057245,0,0
0.000185432,0.000415772,-0.0566194,0,0
0.000185658,0.000418225,-0.0559937,0,0
0.000185868,0.000420642,-0.0553681,0,0
0.000186062,0.000423024,-0.0547425,0,0
0.000186241,0.000425372,-0.0541169,0,0
0.000186405,0.000427685,-0.0534912,0,0
0.000186554,0.000429964,-0.0528656,0,0
0.000186689,0.000432211,-0.05224,0,0
0.000186808,0.000434424,-0.0516143,0,0
0.000186914,0.000436605,-0.0509887,0,0
0.000187006,0.000438753,-0.0503631,0,0
0.000187084,0.00044087,-0.0497375,0,0
0.000187149,0.000442956,-0.0491118,0,0
0.0001872,0.00044501,-0.0484862,0,0
0.000187239,0.000447034,-0.0478606,0,0
0.000187264,0.000449028,-0.0472349,0,0
0.000187277,0.000450992,-0.0466093,0,0
0.000187278,0.000452926,-0.0459837,0,0
0.000187266,0.000454831,-0.0453581,0,0
0.000187242,0.000456706,-0.0447324,0,0
0.000187206,0.000458553,-0.0441068,0,0
0.000187158,0.000460372,-0.0434812,0,0
0.000187099,0.000462162,-0.0428555,0,0
0.000187029,0.000463924,-0.0422299,0,0
0.000186947,0.000465659,-0.0416043,0,0
0.000186853,0.000467366,-0.0409787,0,0
0.000186749,0.000469046,-0.040353,0,0
0.000186634,0.000470699,-0.0397274,0,0
0.000186509,0.000472325,-0.0391018,0,0
0.000186372,0.000473924,-0.0384762,0,0
0.000186226,0.000475497,-0.0378505,0,0
0.000186069,0.000477045,-0.0372249,0,0
0.000185901,0.000478566,-0.0365993,0,0
0.000185724,0.000480061,-0.0359736,0,0
0.000185536,0.000481531,-0.035348,0,0
0.000185339,0.000482975,-0.0347224,0,0
0.000185132,0.000484395,-0.0340968,0,0
0.000184915,0.000485789,-0.0334711,0,0
0.000184689,0.000487158,-0.0328455,0,0
0.000184454,0.000488503,-0.0322199,0,0
0.000184208,0.000489823,-0.0315942,0,0
0.000183954,0.000491119,-0.0309686,0,0
0.000183691,0.00049239,-0.030343,0,0
0.000183418,0.000493638,-0.0297174,0,0
0.000183137,0.000494861,-0.0290917,0,0
0.000182846,0.00049606,-0.0284661,0,0
0.000182547,0.000497236,-0.0278405,0,0
0.000182239,0.000498388,-0.0272148,0,0
0.000181922,0.000499517,-0.0265892,0,0
0.000181597,0.000500622,-0.0259636,0,0
0.000181264,0.000501705,-0.025338,0,0
0.000180921,0.000502764,-0.0247123,0,0
0.000180571,0.000503799,-0.0240867,0,0
0.000180212,0.000504812,-0.0234611,0,0
0.000179845,0.000505803,-0.0228354,0,0
0.00017947,0.00050677,-0.0222098,0,0
0.000179087,0.000507715,-0.0215842,0,0
0.000178696,0.000508637,-0.0209586,0,0
0.000178297,0.000509537,-0.0203329,0,0
0.00017789,0.000510414,-0.0197073,0,0
0.000177475,0.000511269,-0.0190817,0,0
0.000177053,0.000512102,-0.018456,0,0
0.000176622,0.000512912,-0.0178304,0,0
0.000176184,0.000513701,-0.0172048,0,0
0.000175739,0.000514467,-0.0165792,0,0
0.000175286,0.000515212,-0.0159535,0,0
0.000174825,0.000515934,-0.0153279,0,0
0.000174357,0.000516635,-0.0147023,0,0
0.000173882,0.000517314,-0.0140766,0,0
0.000173399,0.000517971,-0.013451,0,0
0.000172909,0.000518606,-0.0128254,0,0
0.000172412,0.00051922,-0.0121998,0,0
0.000171908,0.000519812,-0.0115741,0,0
0.000171396,0.000520383,-0.0109485,0,0
0.000170877,0.000520932,-0.0103229,0,0
0.000170351,0.000521459,-0.00969724,0,0
0.000169819,0.000521965,-0.00907161,0,0
0.000169279,0.00052245,-0.00844598,0,0
0.000168732,0.000522913,-0.00782036,0,0
0.000168178,0.000523355,-0.00719473,0,0
0.000167618,0.000523775,-0.0065691,0,0
0.000167051,0.000524174,-0.00594347,0,0
0.000166476,0.000524552,-0.00531784,0,0
0.000165895,0.000524908,-0.00469221,0,0
0.000165308,0.000525243,-0.00406659,0,0
0.000164713,0.000525557,-0.00344096,0,0
0.000164112,0.00052585,-0.00281533,0,0
0.000163505,0.000526121,-0.0021897,0,0
0.00016289,0.000526371,-0.00156407,0,0
0.00016227,0.000526599,-0.000938443,0,0
0.000161642,0.000526807,-0.000312814,0,0
0.000161008,0.000526993,0.000312814,0,0
0.000160368,0.000527158,0.000938443,0,0
0.000159721,0.000527301,0.00156407,0,0
0.000159068,0.000527423,0.0021897,0,0
0.000158408,0.000527524,0.00281533,0,0
0.000157742,0.000527603,0.00344096,0,0
0.000157069,0.000527662,0.00406659,0,0
0.00015639,0.000527698,0.00469221,0,0
0.000155705,0.000527714,0.00531784,0,0
0.000155014,0.000527707,0.00594347,0,0
0.000154316,0.00052768,0.0065691,0,0
0.000153612,0.000527631,0.00719473,0,0
0.000152902,0.00052756,0.00782036,0,0
0.000152185,0.000527468,0.00844598,0,0
0.000151463,0.000527354,0.00907161,0,0
0.000150734,0.000527218,0.00969724,0,0
0.000149999,0.000527061,0.0103229,0,0
0.000149258,0.000526882,0.0109485,0,0
0.000148511,0.000526681,0.0115741,0,0
0.000147757,0.000526459,0.0121998,0,0
0.000146998,0.000526214,0.0128254,0,0
0.000146232,0.000525948,0.013451,0,0
0.00014546,0.000525659,0.0140766,0,0
0.000144683,0.000525348,0.0147023,0,0
0.000143899,0.000525016,0.0153279,0,0
0.000143109,0.000524661,0.0159535,0,0
0.000142313,0.000524283,0.0165792,0,0
0.000141511,0.000523884,0.0172048,0,0
0.000140704,0.000523461,0.0178304,0,0
0.00013989,0.000523017,0.018456,0,0
0.00013907,0.000522549,0.0190817,0,0
0.000138244,0.000522059,0.0197073,0,0
0.000137412,0.000521546,0.0203329,0,0
0.000136574,0.000521011,0.0209586,0,0
0.000135731,0.000520452,0.0215842,0,0
0.000134881,0.00051987,0.0222098,0,0
0.000134025,0.000519265,0.0228354,0,0
0.000133164,0.000518636,0.0234611,0,0
0.000132296,0.000517984,0.0240867,0,0
0.000131423,0.000517309,0.0247123,0,0
0.000130543,0.00051661,0.025338,0,0
0.000129658,0.000515887,0.0259636,0,0
0.000128767,0.00051514,0.0265892,0,0
0.00012787,0.000514369,0.0272148,0,0
0.000126966,0.000513574,0.0278405,0,0
0.000126057,0.000512754,0.0284661,0,0
0.000125142,0.00051191,0.0290917,0,0
0.000124221,0.000511042,0.0297174,0,0
0.000123295,0.000510148,0.030343,0,0
0.000122362,0.00050923,0.0309686,0,0
0.000121423,0.000508287,0.0315942,0,0
0.000120479,0.000507318,0.0322199,0,0
0.000119528,0.000506324,0.0328455,0,0
0.000118571,0.000505304,0.0334711,0,0
0.000117609,0.000504258,0.0340968,0,0
0.000116641,0.000503186,0.0347224,0,0
0.000115666,0.000502088,0.035348,0,0
0.000114686,0.000500964,0.0359736,0,0
0.000113699,0.000499813,0.0365993,0,0
0.000112707,0.000498635,0.0372249,0,0
0.000111709,0.00049743,0.0378505,0,0
0.000110704,0.000496198,0.0384762,0,0
0.000109694,0.000494938,0.0391018,0,0
0.000108678,0.000493651,0.0397274,0,0
0.000107655,0.000492335,0.040353,0,0
0.000106627,0.000490991,0.0409787,0,0
0.000105592,0.000489619,0.0416043,0,0
0.000104552,0.000488218,0.0422299,0,0
0.000103505,0.000486787,0.0428555,0,0
0.000102452,0.000485328,0.0434812,0,0
0.000101393,0.000483838,0.0441068,0,0
0.000100328,0.000482319,0.0447324,0,0
9.9257e-05,0.000480769,0.0453581,0,0
9.81796e-05,0.000479189,0.0459837,0,0
9.70959e-05,0.000477577,0.0466093,0,0
9.60061e-05,0.000475934,0.0472349,0,0
9.49101e-05,0.00047426,0.0478606,0,0
9.38078e-05,0.000472553,0.0484862,0,0
9.26992e-05,0.000470814,0.0491118,0,0
9.15843e-05,0.000469043,0.0497375,0,0
9.04631e-05,0.000467237,0.0503631,0,0
8.93355e-05,0.000465398,0.0509887,0,0
8.82015e-05,0.000463525,0.0516143,0,0
8.70612e-05,0.000461618,0.05224,0,0
8.59144e-05,0.000459675,0.0528656,0,0
8.47612e-05,0.000457697,0.0534912,0,0
8.36015e-05,0.000455683,0.0541169,0,0
8.24352e-05,0.000453632,0.0547425,0,0
8.12625e-05,0.000451544,0.0553681,0,0
8.00831e-05,0.000449418,0.0559937,0,0
7.88971e-05,0.000447254,0.0566194,0,0
7.77045e-05,0.000445051,0.057245,0,0
7.65052e-05,0.000442809,0.0578706,0,0
7.52992e-05,0.000440526,0.0584963,0,0
7.40864e-05,0.000438203,0.0591219,0,0
7.28668e-05,0.000435838,0.0597475,0,0
7.16404e-05,0.000433431,0.0603731,0,0
7.04071e-05,0.000430981,0.0609988,0,0
6.91669e-05,0.000428487,0.0616244,0,0
6.79197e-05,0.000425949,0.06225,0,0
6.66656e-05,0.000423365,0.0628757,0,0
6.54044e-05,0.000420735,0.0635013,0,0
6.41361e-05,0.000418057,0.0641269,0,0
6.28606e-05,0.000415332,0.0647525,0,0
6.1578e-05,0.000412557,0.0653782,0,0
6.02881e-05,0.000409731,0.0660038,0,0
5.8991e-05,0.000406854,0.0666294,0,0
5.76865e-05,0.000403925,0.0672551,0,0
5.63746e-05,0.000400942,0.0678807,0,0
5.50553e-05,0.000397904,0.0685063,0,0
5.37284e-05,0.000394809,0.0691319,0,0
5.2394e-05,0.000391657,0.0697576,0,0
5.1052e-05,0.000388445,0.0703832,0,0
4.97023e-05,0.000385173,0.0710088,0,0
4.83449e-05,0.000381838,0.0716345,0,0
4.69797e-05,0.000378438,0.0722601,0,0
4.56067e-05,0.000374973,0.0728857,0,0
4.42257e-05,0.00037144,0.0735113,0,0
4.28368e-05,0.000367837,0.074137,0,0
4.14399e-05,0.000364162,0.0747626,0,0
4.00349e-05,0.000360412,0.0753882,0,0
3.86217e-05,0.000356586,0.0760139,0,0
3.72004e-05,0.00035268,0.0766395,0,0
3.57708e-05,0.000348692,0.0772651,0,0
3.43329e-05,0.000344619,0.0778907,0,0
3.28866e-05,0.000340457,0.0785164,0,0
3.1432e-05,0.000336204,0.079142,0,0
2.9969e-05,0.000331855,0.0797676,0,0
2.84975e-05,0.000327407,0.0803933,0,0
2.70175e-05,0.000322856,0.0810189,0,0
2.5529e-05,0.000318197,0.0816445,0,0
2.4032e-05,0.000313425,0.0822701,0,0
2.25266e-05,0.000308535,0.0828958,0,0
2.10127e-05,0.000303521,0.0835214,0,0
1.94904e-05,0.000298376,0.084147,0,0
1.79599e-05,0.000293094,0.0847727,0,0
1.64211e-05,0.000287666,0.0853983,0,0
1.48744e-05,0.000282085,0.0860239,0,0
1.33199e-05,0.000276341,0.0866495,0,0
1.17578e-05,0.000270423,0.0872752,0,0
1.01887e-05,0.000264319,0.0879008,0,0
8.61283e-06,0.000258017,0.0885264,0,0
7.03096e-06,0.000251501,0.0891521,0,0
5.44382e-06,0.000244754,0.0897777,0,0
3.8524e-06,0.000237756,0.0904033,0,0
2.25801e-06,0.000230484,0.0910289,0,0
6.62296e-07,0.000222911,0.0916546,0,0
-9.32557e-07,0.000215007,0.0922802,0,0
-2.52368e-06,0.000206732,0.0929058,0,0
-4.10724e-06,0.00019804,0.0935315,0,0
-5.67803e-06,0.000188875,0.0941571,0,0
-7.2288e-06,0.000179164,0.0947827,0,0
-8.74927e-06,0.000168815,0.0954083,0,0
-1.02243e-05,0.000157703,0.096034,0,0
-1.16306e-05,0.000145659,0.0966596,0,0
-1.29293e-05,0.000132435,0.0972852,0,0
-1.40541e-05,0.000117636,0.0979109,0,0
-1.48367e-05,0.000100654,0.0985365,0,0
-1.49464e-05,7.98842e-05,0.0991621,0,0
-1.20629e-05,5.42747e-05,0.0997877,0,0
