displacement:0,displacement:1,Points:0,Points:1,Points:2
-1.0714e-16,0,-0.1,0,0
-1.84537e-17,0,0.1,0,0
-0.000219127,8.81594e-05,0.095,0,0
-0.000354741,0.000104544,0.09,0,0
-0.000450806,0.000107823,0.085,0,0
-0.000526164,0.000106799,0.08,0,0
-0.000588478,0.00010365,0.075,0,0
-0.000641486,9.92282e-05,0.07,0,0
-0.000687291,9.39471e-05,0.065,0,0
-0.000727218,8.80545e-05,0.06,0,0
-0.000762163,8.17097e-05,0.055,0,0
-0.000792766,7.50216e-05,0.05,0,0
-0.000819498,6.80684e-05,0.045,0,0
-0.000842719,6.09076e-05,0.04,0,0
-0.000862702,5.35834e-05,0.035,0,0
-0.000879664,4.61302e-05,0.03,0,0
-0.000893772,3.85756e-05,0.025,0,0
-0.000905155,3.09426e-05,0.02,0,0
-0.000913912,2.32503e-05,0.015,0,0
-0.000920118,1.55155e-05,0.01,0,0
-0.000923822,7.75335e-06,0.005,0,0
-0.000925053,-2.22203e-08,2.65593e-13,0,0
-0.000923822,-7.79773e-06,-0.005,0,0
-0.000920117,-1.55597e-05,-0.01,0,0
-0.000913911,-2.32942e-05,-0.015,0,0
-0.000905153,-3.0986e-05,-0.02,0,0
-0.000893769,-3.86185e-05,-0.025,0,0
-0.000879661,-4.61723e-05,-0.03,0,0
-0.000862699,-5.36247e-05,-0.035,0,0
-0.000842715,-6.09479e-05,-0.04,0,0
-0.000819494,-6.81075e-05,-0.045,0,0
-0.000792761,-7.50595e-05,-0.05,0,0
-0.000762158,-8.1746e-05,-0.055,0,0
-0.000727213,-8.80892e-05,-0.06,0,0
-0.000687286,-9.39798e-05,-0.065,0,0
-0.00064148,-9.92586e-05,-0.07,0,0
-0.000588472,-0.000103678,-0.075,0,0
-0.000526158,-0.000106824,-0.08,0,0
-0.000450801,-0.000107845,-0.085,0,0
-0.000354736,-0.000104561,-0.09,0,0
-0.000219123,-8.8171e-05,-0.095,0,0
