displacement:0,displacement:1,Points:0,Points:1,Points:2
-1.37182e-15,0,-2,0,0
-1.39423e-15,0,2,0,0
0.0697415,-0.0485695,2,2,0
0.0697458,0.0502751,-2,2,0
-1.4335e-15,0.00264419,-0.1,0,0
-1.35313e-15,-0.000934502,0.1,0,0
-1.41622e-15,0.00854351,-0.4,0,0
-1.34885e-15,-0.00683343,0.4,0,0
0.0110407,0.00836756,-0.4,0.4,0
0.0110428,-0.00665865,0.4,0.4,0
0.0112323,0.00271776,-0.1,0.4,0
0.0112328,-0.001009,0.1,0.4,0
-0.0697415,-0.0485695,2,-2,0
-0.0697458,0.0502751,-2,-2,0
-0.0110407,0.00836756,-0.4,-0.4,0
-0.0110428,-0.00665865,0.4,-0.4,0
-0.0112323,0.00271776,-0.1,-0.4,0
-0.0112328,-0.001009,0.1,-0.4,0
-1.37675e-15,0.0214953,-1.90392,0,0
-1.37869e-15,0.0261404,-1.81332,0,0
-1.38379e-15,0.0275016,-1.72789,0,0
-1.38628e-15,0.0278339,-1.64733,0,0
-1.38965e-15,0.0276663,-1.57137,0,0
-1.3918e-15,0.0271652,-1.49974,0,0
-1.3935e-15,0.026482,-1.4322,0,0
-1.39529e-15,0.0257145,-1.36851,0,0
-1.39773e-15,0.0248893,-1.30845,0,0
-1.39943e-15,0.0240593,-1.25183,0,0
-1.39902e-15,0.0232202,-1.19843,0,0
-1.3974e-15,0.0223966,-1.14807,0,0
-1.3956e-15,0.0215994,-1.10059,0,0
-1.39412e-15,0.020823,-1.05582,0,0
-1.39219e-15,0.0200815,-1.0136,0,0
-1.39154e-15,0.0193686,-0.973796,0,0
-1.39074e-15,0.0186899,-0.936258,0,0
-1.39177e-15,0.0180433,-0.900861,0,0
-1.39313e-15,0.0174297,-0.867484,0,0
-1.39413e-15,0.0168445,-0.836011,0,0
-1.39614e-15,0.016291,-0.806334,0,0
-1.39593e-15,0.0157675,-0.778349,0,0
-1.39631e-15,0.0152709,-0.751961,0,0
-1.39649e-15,0.0148016,-0.727078,0,0
-1.39649e-15,0.0143576,-0.703615,0,0
-1.39626e-15,0.0139376,-0.681491,0,0
-1.39623e-15,0.0135416,-0.660628,0,0
-1.39641e-15,0.0131669,-0.640956,0,0
-1.39732e-15,0.0128133,-0.622406,0,0
-1.39883e-15,0.0124792,-0.604914,0,0
-1.40107e-15,0.0121639,-0.58842,0,0
-1.40392e-15,0.0118664,-0.572867,0,0
-1.40733e-15,0.0115855,-0.558201,0,0
-1.40991e-15,0.0113204,-0.544372,0,0
-1.41234e-15,0.0110704,-0.531332,0,0
-1.41418e-15,0.0108344,-0.519036,0,0
-1.41647e-15,0.0106117,-0.507441,0,0
-1.41746e-15,0.0104017,-0.496508,0,0
-1.41853e-15,0.0102035,-0.486198,0,0
-1.41926e-15,0.0100166,-0.476476,0,0
-1.41918e-15,0.0098402,-0.46731,0,0
-1.41923e-15,0.00967387,-0.458666,0,0
-1.41935e-15,0.00951698,-0.450515,0,0
-1.41784e-15,0.00936896,-0.442829,0,0
-1.41801e-15,0.00922939,-0.435582,0,0
-1.41719e-15,0.00909771,-0.428748,0,0
