displacement:0,displacement:1,Points:0,Points:1,Points:2
-7.10839e-16,7.88143e-06,-0.1,7.88143e-05,0
-6.04053e-16,-8.2132e-06,0.1,-8.2132e-05,0
-0.000324869,4.20777e-05,0.0917513,0.000420777,0
-0.000518924,5.1291e-05,0.0848108,0.00051291,0
-0.000653397,4.91421e-05,0.078466,0.000491421,0
-0.000758495,4.65824e-05,0.0724151,0.000465824,0
-0.00084519,4.37533e-05,0.0665481,0.000437533,0
-0.000918865,4.09078e-05,0.0608114,0.000409078,0
-0.000982488,3.80401e-05,0.0551751,0.000380401,0
-0.00103792,3.51579e-05,0.0496208,0.000351579,0
-0.00108643,3.22619e-05,0.0441357,0.000322619,0
-0.00112891,2.93534e-05,0.0387109,0.000293534,0
-0.00116601,2.64336e-05,0.0333399,0.000264336,0
-0.00119823,2.35035e-05,0.0280177,0.000235035,0
-0.00122596,2.05643e-05,0.0227404,0.000205643,0
-0.0012495,1.76171e-05,0.017505,0.000176171,0
-0.00126908,1.46632e-05,0.0123092,0.000146632,0
-0.00128488,1.17035e-05,0.00715121,0.000117035,0
-0.00129703,8.73934e-06,0.00202967,8.73934e-05,0
-0.00130565,5.77177e-06,-0.00305646,5.77177e-05,0
-0.00131079,2.80193e-06,-0.00810786,2.80193e-05,0
-0.0013125,-1.69028e-07,-0.013125,-1.69028e-06,0
-0.00131079,-3.13997e-06,-0.0181079,-3.13997e-05,0
-0.00130565,-6.10976e-06,-0.0230565,-6.10976e-05,0
-0.00129703,-9.07726e-06,-0.0279703,-9.07726e-05,0
-0.00128488,-1.20413e-05,-0.0328488,-0.000120413,0
-0.00126908,-1.50008e-05,-0.0376908,-0.000150008,0
-0.0012495,-1.79546e-05,-0.042495,-0.000179546,0
-0.00122596,-2.09016e-05,-0.0472596,-0.000209016,0
-0.00119823,-2.38405e-05,-0.0519823,-0.000238405,0
-0.00116601,-2.67704e-05,-0.0566601,-0.000267704,0
-0.00112891,-2.96899e-05,-0.0612891,-0.000296899,0
-0.00108643,-3.25981e-05,-0.0658643,-0.000325981,0
-0.00103793,-3.54937e-05,-0.0703792,-0.000354937,0
-0.000982488,-3.83755e-05,-0.0748249,-0.000383755,0
-0.000918865,-4.12428e-05,-0.0791887,-0.000412428,0
-0.00084519,-4.40878e-05,-0.0834519,-0.000440879,0
-0.000758495,-4.69164e-05,-0.087585,-0.000469164,0
-0.000653397,-4.94756e-05,-0.091534,-0.000494756,0
-0.000518924,-5.16239e-05,-0.0951892,-0.000516239,0
-0.000324869,-4.241e-05,-0.0982487,-0.0004241,0
