displacement:0,displacement:1,Points:0,Points:1,Points:2
-1.4335e-15,0.00264419,-0.1,0,0
-1.35313e-15,-0.000934502,0.1,0,0
0.000142952,0.00253282,-0.095,0,0
0.000228357,0.00243951,-0.09,0,0
0.000287552,0.00235119,-0.085,0,0
0.000333826,0.00226305,-0.08,0,0
0.000372005,0.00217502,-0.075,0,0
0.000404457,0.002087,-0.07,0,0
0.000432485,0.00199897,-0.065,0,0
0.000456911,0.00191095,-0.06,0,0
0.000478288,0.00182294,-0.055,0,0
0.000497008,0.00173492,-0.05,0,0
0.000513362,0.00164691,-0.045,0,0
0.000527568,0.00155889,-0.04,0,0
0.000539796,0.00147088,-0.035,0,0
0.000550175,0.00138287,-0.03,0,0
0.000558809,0.00129486,-0.025,0,0
0.000565777,0.00120685,-0.02,0,0
0.000571138,0.00111884,-0.015,0,0
0.000574938,0.00103084,-0.01,0,0
0.000577206,0.000942829,-0.005,0,0
0.000577962,0.000854822,-2.65746e-13,0,0
0.00057721,0.000766816,0.005,0,0
0.000574945,0.000678809,0.01,0,0
0.000571148,0.000590802,0.015,0,0
0.000558826,0.000414787,0.025,0,0
0.000550195,0.000326778,0.03,0,0
0.000539819,0.000238769,0.035,0,0
0.000527594,0.000150759,0.04,0,0
0.00051339,6.27483e-05,0.045,0,0
0.000497039,-2.52639e-05,0.05,0,0
0.00047832,-0.000113277,0.055,0,0
0.000456945,-0.000201292,0.06,0,0
0.00043252,-0.000289309,0.065,0,0
0.000404491,-0.000377327,0.07,0,0
0.000372039,-0.00046535,0.075,0,0
0.000333859,-0.000553375,0.08,0,0
0.000287582,-0.000641512,0.085,0,0
0.000228382,-0.000729824,0.09,0,0
0.000142968,-0.000823129,0.095,0,0
