displacement:0,displacement:1,Points:0,Points:1,Points:2
-7.10839e-16,7.88143e-06,-0.1,0,0
-6.04053e-16,-8.2132e-06,0.1,0,0
0.000324869,-4.241e-05,-0.095,0,0
0.000653397,-4.94756e-05,-0.085,0,0
0.000758495,-4.69164e-05,-0.08,0,0
0.00084519,-4.40878e-05,-0.075,0,0
0.000918865,-4.12428e-05,-0.07,0,0
0.000982488,-3.83755e-05,-0.065,0,0
0.00103793,-3.54937e-05,-0.06,0,0
0.00108643,-3.25981e-05,-0.055,0,0
0.00112891,-2.96899e-05,-0.05,0,0
0.00116601,-2.67704e-05,-0.045,0,0
0.00119823,-2.38405e-05,-0.04,0,0
0.00122596,-2.09016e-05,-0.035,0,0
0.0012495,-1.79546e-05,-0.03,0,0
0.00126908,-1.50008e-05,-0.025,0,0
0.00128488,-1.20413e-05,-0.02,0,0
0.00129703,-9.07726e-06,-0.015,0,0
0.00130565,-6.10976e-06,-0.01,0,0
0.00131079,-3.13997e-06,-0.005,0,0
0.0013125,-1.69028e-07,-2.65746e-13,0,0
0.00131079,2.80193e-06,0.005,0,0
0.00130565,5.77177e-06,0.01,0,0
0.00129703,8.73934e-06,0.015,0,0
0.00128488,1.17035e-05,0.02,0,0
0.00126908,1.46632e-05,0.025,0,0
0.0012495,1.76171e-05,0.03,0,0
0.00122596,2.05643e-05,0.035,0,0
0.00119823,2.35035e-05,0.04,0,0
0.00116601,2.64336e-05,0.045,0,0
0.00112891,2.93534e-05,0.05,0,0
0.00108643,3.22619e-05,0.055,0,0
0.00103792,3.51579e-05,0.06,0,0
0.000982488,3.80401e-05,0.065,0,0
0.000918865,4.09078e-05,0.07,0,0
0.00084519,4.37533e-05,0.075,0,0
0.000758495,4.65824e-05,0.08,0,0
0.000653397,4.91421e-05,0.085,0,0
0.000518924,5.1291e-05,0.09,0,0
0.000324869,4.20777e-05,0.095,0,0
