Points_0,Points_1,Points_2,displacement_0,displacement_1
-0.1,0,0,-1.04486e-10,4.20432e-11
-0.0998,0,0,1.4024e-05,-5.643e-06
-0.0996,0,0,2.80476e-05,-1.12858e-05
-0.0994,0,0,4.20718e-05,-1.69289e-05
-0.0992,0,0,5.60954e-05,-2.25717e-05
-0.099,0,0,7.01195e-05,-2.82147e-05
-0.0988,0,0,8.41431e-05,-3.38576e-05
-0.0986,0,0,9.81672e-05,-3.95006e-05
-0.0984,0,0,0.000112191,-4.51437e-05
-0.0982,0,0,0.000126215,-5.07865e-05
-0.098,0,0,0.000140239,-5.64295e-05
-0.0978,0,0,0.000154263,-6.20724e-05
-0.0976,0,0,0.000168287,-6.77154e-05
-0.0974,0,0,0.00018231,-7.33582e-05
-0.0972,0,0,0.000196335,-7.90013e-05
-0.097,0,0,0.000210358,-8.46441e-05
-0.0968,0,0,0.000224382,-9.02871e-05
-0.0966,0,0,0.000238406,-9.593e-05
-0.0964,0,0,0.00025243,-0.000101573
-0.0962,0,0,0.000266454,-0.000107216
-0.096,0,0,0.000280478,-0.000112859
-0.0958,0,0,0.000294502,-0.000118502
-0.0956,0,0,0.000308525,-0.000124145
-0.0954,0,0,0.00032255,-0.000129788
-0.0952,0,0,0.000336573,-0.000135431
-0.095,0,0,0.000350597,-0.000141074
-0.0948,0,0,0.000359276,-0.000142123
-0.0946,0,0,0.000367956,-0.000143172
-0.0944,0,0,0.000376635,-0.000144221
-0.0942,0,0,0.000385314,-0.00014527
-0.094,0,0,0.000393993,-0.000146319
-0.0938,0,0,0.000402672,-0.000147368
-0.0936,0,0,0.000411352,-0.000148417
-0.0934,0,0,0.000420031,-0.000149465
-0.0932,0,0,0.00042871,-0.000150514
-0.093,0,0,0.000437389,-0.000151563
-0.0928,0,0,0.000446068,-0.000152612
-0.0926,0,0,0.000454748,-0.000153661
-0.0924,0,0,0.000463427,-0.00015471
-0.0922,0,0,0.000472106,-0.000155759
-0.092,0,0,0.000480785,-0.000156808
-0.0918,0,0,0.000489465,-0.000157857
-0.0916,0,0,0.000498144,-0.000158906
-0.0914,0,0,0.000506823,-0.000159955
-0.0912,0,0,0.000515502,-0.000161004
-0.091,0,0,0.000524181,-0.000162053
-0.0908,0,0,0.00053286,-0.000163102
-0.0906,0,0,0.00054154,-0.000164151
-0.0904,0,0,0.000550219,-0.0001652
-0.0902,0,0,0.000558898,-0.000166249
-0.09,0,0,0.000567577,-0.000167298
-0.0898,0,0,0.000573725,-0.000167508
-0.0896,0,0,0.000579874,-0.000167718
-0.0894,0,0,0.000586022,-0.000167929
-0.0892,0,0,0.00059217,-0.000168139
-0.089,0,0,0.000598318,-0.000168349
-0.0888,0,0,0.000604466,-0.000168559
-0.0886,0,0,0.000610614,-0.000168769
-0.0884,0,0,0.000616763,-0.000168979
-0.0882,0,0,0.000622911,-0.000169189
-0.088,0,0,0.000629059,-0.0001694
-0.0878,0,0,0.000635207,-0.00016961
-0.0876,0,0,0.000641355,-0.00016982
-0.0874,0,0,0.000647503,-0.00017003
-0.0872,0,0,0.000653651,-0.00017024
-0.087,0,0,0.0006598,-0.00017045
-0.0868,0,0,0.000665948,-0.00017066
