Points_0,Points_1,Points_2,displacement_0,displacement_1
-0.11,0,0,0.0327317,0
-0.10978,0,0,0.0329416,0
-0.10956,0,0,0.0331514,6.08096e-33
-0.10934,0,0,0.0333613,1.24577e-32
-0.10912,0,0,0.0335712,6.37676e-33
-0.1089,0,0,0.0337811,6.52466e-33
-0.10868,0,0,0.033991,0
-0.10846,0,0,0.0342009,-3.41023e-33
-0.10824,0,0,0.0344108,-3.48418e-33
-0.10802,0,0,0.0346207,3.55813e-33
-0.1078,0,0,0.0348306,0
-0.10758,0,0,0.0350404,0
-0.10736,0,0,0.0352503,0
-0.10714,0,0,0.0354602,-1.92697e-33
-0.10692,0,0,0.0356701,0
-0.1067,0,0,0.03588,0
-0.10648,0,0,0.0360899,4.07579e-33
-0.10626,0,0,0.0362998,0
-0.10604,0,0,0.0365097,8.44738e-33
-0.10582,0,0,0.0367196,-8.59528e-33
-0.1056,0,0,0.0369295,8.74318e-33
-0.10538,0,0,0.0371393,8.89108e-33
-0.10516,0,0,0.0373492,0
-0.10494,0,0,0.0375838,-1.8726e-32
-0.10472,0,0,0.0378841,0
-0.1045,0,0,0.0381844,1.09501e-32
-0.10428,0,0,0.0384848,1.17436e-32
-0.10406,0,0,0.0387851,-1.25372e-32
-0.10384,0,0,0.0390854,-1.33307e-32
-0.10362,0,0,0.0393857,0
-0.1034,0,0,0.0396861,-7.45893e-33
-0.10318,0,0,0.0399864,7.85571e-33
-0.10296,0,0,0.0402867,8.25249e-33
-0.10274,0,0,0.0405871,2.16232e-33
-0.10252,0,0,0.0408874,0
-0.1023,0,0,0.0411877,0
-0.10208,0,0,0.041488,4.9198e-33
-0.10186,0,0,0.0417883,0
-0.10164,0,0,0.0420887,0
-0.10142,0,0,0.042389,0
-0.1012,0,0,0.0426893,-2.28534e-32
-0.10098,0,0,0.0429897,0
-0.10076,0,0,0.04329,-2.44405e-32
-0.10054,0,0,0.0435903,-2.52341e-32
-0.10032,0,0,0.0438906,-2.60277e-32
-0.1001,0,0,0.044191,5.36424e-32
-0.09988,0,0,0.0444204,0.00123869
-0.09966,0,0,0.0445907,0.00350968
-0.09944,0,0,0.0447611,0.00578067
-0.09922,0,0,0.0449314,0.00805166
-0.099,0,0,0.0451018,0.0103227
-0.09878,0,0,0.0452721,0.0125936
-0.09856,0,0,0.0454425,0.0148646
-0.09834,0,0,0.0456128,0.0171356
-0.09812,0,0,0.0457832,0.0194066
-0.0979,0,0,0.0459535,0.0216775
-0.09768,0,0,0.0461239,0.0239485
-0.09746,0,0,0.0462942,0.0262195
-0.09724,0,0,0.0464646,0.0284905
-0.09702,0,0,0.0466349,0.0307615
-0.0968,0,0,0.0468052,0.0330325
-0.09658,0,0,0.0469756,0.0353035
-0.09636,0,0,0.0471459,0.0375745
-0.09614,0,0,0.0473163,0.0398454
-0.09592,0,0,0.0474866,0.0421164
-0.0957,0,0,0.047657,0.0443874
-0.09548,0,0,0.0478273,0.0466583
-0.09526,0,0,0.0479977,0.0489293
-0.09504,0,0,0.048168,0.0512003
-0.09482,0,0,0.0481563,0.0524355
-0.0946,0,0,0.048104,0.0534404
-0.09438,0,0,0.0480518,0.0544454
-0.09416,0,0,0.0479995,0.0554503
-0.09394,0,0,0.0479473,0.0564552
-0.09372,0,0,0.0478951,0.0574602
-0.0935,0,0,0.0478428,0.0584651
-0.09328,0,0,0.0477906,0.0594701
-0.09306,0,0,0.0477383,0.060475
-0.09284,0,0,0.0476861,0.0614799
-0.09262,0,0,0.0476339,0.0624849
-0.0924,0,0,0.0475816,0.0634898
-0.09218,0,0,0.0475294,0.0644948
-0.09196,0,0,0.0474771,0.0654997
-0.09174,0,0,0.0474249,0.0665047
-0.09152,0,0,0.0473727,0.0675096
-0.0913,0,0,0.0473204,0.0685145
-0.09108,0,0,0.0472682,0.0695195
-0.09086,0,0,0.0472159,0.0705244
-0.09064,0,0,0.0471637,0.0715294
-0.09042,0,0,0.0471115,0.0725343
-0.0902,0,0,0.0470592,0.0735393
-0.08998,0,0,0.0470016,0.0745234
-0.08976,0,0,0.0468901,0.0752998
-0.08954,0,0,0.0467785,0.0760761
-0.08932,0,0,0.046667,0.0768524
-0.0891,0,0,0.0465555,0.0776287
-0.08888,0,0,0.046444,0.0784051
-0.08866,0,0,0.0463324,0.0791814
-0.08844,0,0,0.0462209,0.0799577
-0.08822,0,0,0.0461094,0.080734
-0.088,0,0,0.0459979,0.0815104
-0.08778,0,0,0.0458863,0.0822867
-0.08756,0,0,0.0457748,0.083063
-0.08734,0,0,0.0456633,0.0838394
-0.08712,0,0,0.0455518,0.0846157
-0.0869,0,0,0.0454402,0.085392
-0.08668,0,0,0.0453287,0.0861683
-0.08646,0,0,0.0452172,0.0869446
-0.08624,0,0,0.0451057,0.087721
-0.08602,0,0,0.0449941,0.0884973
-0.0858,0,0,0.0448826,0.0892736
-0.08558,0,0,0.0447711,0.09005
-0.08536,0,0,0.0446596,0.0908263
-0.08514,0,0,0.044548,0.0916026
-0.08492,0,0,0.0444357,0.092318
-0.0847,0,0,0.0443219,0.0929268
-0.08448,0,0,0.0442082,0.0935356
-0.08426,0,0,0.0440944,0.0941444
-0.08404,0,0,0.0439807,0.0947532
-0.08382,0,0,0.0438669,0.095362
-0.0836,0,0,0.0437531,0.0959708
-0.08338,0,0,0.0436394,0.0965796
-0.08316,0,0,0.0435256,0.0971885
-0.08294,0,0,0.0434118,0.0977973
-0.08272,0,0,0.0432981,0.0984061
-0.0825,0,0,0.0431843,0.0990148
-0.08228,0,0,0.0430706,0.0996237
-0.08206,0,0,0.0429568,0.100232
-0.08184,0,0,0.042843,0.100841
-0.08162,0,0,0.0427293,0.10145
-0.0814,0,0,0.0426155,0.102059
-0.08118,0,0,0.0425017,0.102668
-0.08096,0,0,0.042388,0.103276
-0.08074,0,0,0.0422742,0.103885
-0.08052,0,0,0.0421605,0.104494
-0.0803,0,0,0.0420467,0.105103
-0.08008,0,0,0.0419329,0.105712
-0.07986,0,0,0.0418183,0.106257
-0.07964,0,0,0.0417033,0.106765
-0.07942,0,0,0.0415882,0.107273
-0.0792,0,0,0.0414731,0.107782
-0.07898,0,0,0.0413581,0.10829
-0.07876,0,0,0.041243,0.108798
-0.07854,0,0,0.0411279,0.109307
-0.07832,0,0,0.0410129,0.109815
-0.0781,0,0,0.0408978,0.110323
-0.07788,0,0,0.0407827,0.110832
-0.07766,0,0,0.0406677,0.11134
-0.07744,0,0,0.0405526,0.111848
-0.07722,0,0,0.0404375,0.112357
-0.077,0,0,0.0403225,0.112865
-0.07678,0,0,0.0402074,0.113373
-0.07656,0,0,0.0400923,0.113882
-0.07634,0,0,0.0399772,0.11439
-0.07612,0,0,0.0398622,0.114898
-0.0759,0,0,0.0397471,0.115407
-0.07568,0,0,0.039632,0.115915
-0.07546,0,0,0.039517,0.116424
-0.07524,0,0,0.0394019,0.116932
-0.07502,0,0,0.0392868,0.11744
-0.0748,0,0,0.0391718,0.117881
-0.07458,0,0,0.0390567,0.118315
-0.07436,0,0,0.0389416,0.118748
-0.07414,0,0,0.0388266,0.119182
-0.07392,0,0,0.0387115,0.119616
-0.0737,0,0,0.0385964,0.12005
-0.07348,0,0,0.0384813,0.120484
-0.07326,0,0,0.0383663,0.120918
-0.07304,0,0,0.0382512,0.121351
-0.07282,0,0,0.0381361,0.121785
-0.0726,0,0,0.0380211,0.122219
-0.07238,0,0,0.037906,0.122653
-0.07216,0,0,0.0377909,0.123087
-0.07194,0,0,0.0376759,0.12352
-0.07172,0,0,0.0375608,0.123954
-0.0715,0,0,0.0374457,0.124388
-0.07128,0,0,0.0373306,0.124822
-0.07106,0,0,0.0372156,0.125256
-0.07084,0,0,0.0371005,0.125689
-0.07062,0,0,0.0369854,0.126123
-0.0704,0,0,0.0368704,0.126557
