displacement:0,displacement:1,Points:0,Points:1,Points:2
0.000218,4.26872e-17,-0.0994735,4.26872e-16,0
-0.000190141,1.32921e-16,0.0997521,1.32921e-15,0
0.000225211,0.000101686,-0.0968914,0.00101686,0
0.000222554,0.000147683,-0.094408,0.00147683,0
0.000217283,0.000183948,-0.0919508,0.00183948,0
0.000211919,0.000213131,-0.0894944,0.00213131,0
0.000206498,0.00023818,-0.0870387,0.0023818,0
0.000201077,0.000260227,-0.0845829,0.00260227,0
0.000195654,0.000279991,-0.0821272,0.00279991,0
0.000190232,0.000297925,-0.0796715,0.00297925,0
0.000184809,0.000314341,-0.0772157,0.00314341,0
0.000179385,0.000329466,-0.07476,0.00329466,0
0.000173962,0.000343471,-0.0723043,0.00343471,0
0.000168539,0.000356487,-0.0698485,0.00356487,0
0.000163115,0.000368619,-0.0673928,0.00368619,0
0.000157691,0.000379951,-0.0649371,0.00379951,0
0.000152267,0.000390553,-0.0624814,0.00390553,0
0.000146843,0.000400483,-0.0600256,0.00400483,0
0.000141419,0.00040979,-0.0575699,0.0040979,0
0.000135995,0.000418514,-0.0551142,0.00418514,0
0.00013057,0.000426693,-0.0526585,0.00426693,0
0.000125146,0.000434356,-0.0502028,0.00434356,0
0.000119721,0.000441531,-0.047747,0.00441531,0
0.000114297,0.000448241,-0.0452913,0.00448241,0
0.000108872,0.000454507,-0.0428356,0.00454507,0
0.000103447,0.000460346,-0.0403799,0.00460346,0
9.8022e-05,0.000465775,-0.0379242,0.00465775,0
9.2597e-05,0.000470807,-0.0354685,0.00470807,0
8.71719e-05,0.000475456,-0.0330128,0.00475456,0
8.17468e-05,0.000479733,-0.0305571,0.00479733,0
7.63215e-05,0.000483647,-0.0281013,0.00483647,0
7.08963e-05,0.000487208,-0.0256456,0.00487208,0
6.54709e-05,0.000490422,-0.0231899,0.00490422,0
6.00456e-05,0.000493297,-0.0207342,0.00493297,0
5.46201e-05,0.000495839,-0.0182785,0.00495839,0
4.91947e-05,0.000498052,-0.0158228,0.00498052,0
4.37692e-05,0.000499941,-0.0133671,0.00499941,0
3.83437e-05,0.00050151,-0.0109114,0.0050151,0
3.29182e-05,0.000502762,-0.00845569,0.00502762,0
2.74926e-05,0.000503698,-0.00599998,0.00503698,0
2.20671e-05,0.000504322,-0.00354427,0.00504322,0
1.66415e-05,0.000504633,-0.00108857,0.00504633,0
1.12159e-05,0.000504633,0.00136714,0.00504633,0
5.79037e-06,0.000504322,0.00382285,0.00504322,0
3.64812e-07,0.000503698,0.00627855,0.00503698,0
-5.06073e-06,0.000502762,0.00873426,0.00502762,0
-1.04863e-05,0.00050151,0.01119,0.0050151,0
-1.59117e-05,0.000499941,0.0136457,0.00499941,0
-2.13372e-05,0.000498052,0.0161014,0.00498052,0
-2.67627e-05,0.000495838,0.0185571,0.00495838,0
-3.2188e-05,0.000493297,0.0210128,0.00493297,0
-3.76134e-05,0.000490422,0.0234685,0.00490422,0
-4.30387e-05,0.000487207,0.0259242,0.00487207,0
-4.8464e-05,0.000483647,0.0283799,0.00483647,0
-5.38891e-05,0.000479733,0.0308356,0.00479733,0
-5.93143e-05,0.000475456,0.0332913,0.00475456,0
-6.47393e-05,0.000470807,0.0357471,0.00470807,0
-7.01643e-05,0.000465774,0.0382028,0.00465774,0
-7.55892e-05,0.000460345,0.0406585,0.00460345,0
-8.1014e-05,0.000454506,0.0431142,0.00454506,0
-8.64388e-05,0.000448241,0.0455699,0.00448241,0
-9.18634e-05,0.000441531,0.0480256,0.00441531,0
-9.72879e-05,0.000434356,0.0504813,0.00434356,0
-0.000102712,0.000426692,0.0529371,0.00426692,0
-0.000108137,0.000418514,0.0553928,0.00418514,0
-0.000113561,0.000409789,0.0578485,0.00409789,0
-0.000118985,0.000400482,0.0603042,0.00400482,0
-0.000124409,0.000390552,0.0627599,0.00390552,0
-0.000129833,0.00037995,0.0652157,0.0037995,0
-0.000135257,0.000368618,0.0676714,0.00368618,0
-0.00014068,0.000356486,0.0701271,0.00356486,0
-0.000146104,0.00034347,0.0725828,0.0034347,0
-0.000151527,0.000329466,0.0750386,0.00329466,0
-0.00015695,0.00031434,0.0774943,0.0031434,0
-0.000162373,0.000297924,0.07995,0.00297924,0
-0.000167796,0.00027999,0.0824058,0.0027999,0
-0.000173218,0.000260226,0.0848615,0.00260226,0
-0.000178639,0.00023818,0.0873173,0.0023818,0
-0.00018406,0.000213131,0.089773,0.00213131,0
-0.000189424,0.000183948,0.0922293,0.00183948,0
-0.000194695,0.000147683,0.0946866,0.00147683,0
-0.000197352,0.000101686,0.09717,0.00101686,0
