displacement:0,displacement:1,Points:0,Points:1,Points:2
0.000218,0,-0.101653,0,0
-0.000190141,0,0.101653,0,0
0.000225211,0.000101686,-0.0991435,0,0
0.000222554,0.000147683,-0.0966335,0,0
0.000217283,0.000183948,-0.0941236,0,0
0.000211919,0.000213131,-0.0916136,0,0
0.000206498,0.00023818,-0.0891037,0,0
0.000201077,0.000260227,-0.0865937,0,0
0.000195654,0.000279991,-0.0840837,0,0
0.000190232,0.000297925,-0.0815738,0,0
0.000184809,0.000314341,-0.0790638,0,0
0.000179385,0.000329466,-0.0765538,0,0
0.000173962,0.000343471,-0.0740439,0,0
0.000168539,0.000356487,-0.0715339,0,0
0.000163115,0.000368619,-0.069024,0,0
0.000157691,0.000379951,-0.066514,0,0
0.000152267,0.000390553,-0.064004,0,0
0.000146843,0.000400483,-0.0614941,0,0
0.000141419,0.00040979,-0.0589841,0,0
0.000135995,0.000418514,-0.0564741,0,0
0.00013057,0.000426693,-0.0539642,0,0
0.000125146,0.000434356,-0.0514542,0,0
0.000119721,0.000441531,-0.0489443,0,0
0.000114297,0.000448241,-0.0464343,0,0
0.000108872,0.000454507,-0.0439243,0,0
0.000103447,0.000460346,-0.0414144,0,0
9.8022e-05,0.000465775,-0.0389044,0,0
9.2597e-05,0.000470807,-0.0363945,0,0
8.71719e-05,0.000475456,-0.0338845,0,0
8.17468e-05,0.000479733,-0.0313745,0,0
7.63215e-05,0.000483647,-0.0288646,0,0
7.08963e-05,0.000487208,-0.0263546,0,0
6.54709e-05,0.000490422,-0.0238446,0,0
6.00456e-05,0.000493297,-0.0213347,0,0
5.46201e-05,0.000495839,-0.0188247,0,0
4.91947e-05,0.000498052,-0.0163148,0,0
4.37692e-05,0.000499941,-0.0138048,0,0
3.83437e-05,0.00050151,-0.0112948,0,0
3.29182e-05,0.000502762,-0.00878487,0,0
2.74926e-05,0.000503698,-0.00627491,0,0
2.20671e-05,0.000504322,-0.00376494,0,0
1.66415e-05,0.000504633,-0.00125498,0,0
1.12159e-05,0.000504633,0.00125498,0,0
5.79037e-06,0.000504322,0.00376494,0,0
3.64812e-07,0.000503698,0.00627491,0,0
-5.06073e-06,0.000502762,0.00878487,0,0
-1.04863e-05,0.00050151,0.0112948,0,0
-1.59117e-05,0.000499941,0.0138048,0,0
-2.13372e-05,0.000498052,0.0163148,0,0
-2.67627e-05,0.000495838,0.0188247,0,0
-3.2188e-05,0.000493297,0.0213347,0,0
-3.76134e-05,0.000490422,0.0238446,0,0
-4.30387e-05,0.000487207,0.0263546,0,0
-4.8464e-05,0.000483647,0.0288646,0,0
-5.38891e-05,0.000479733,0.0313745,0,0
-5.93143e-05,0.000475456,0.0338845,0,0
-6.47393e-05,0.000470807,0.0363945,0,0
-7.01643e-05,0.000465774,0.0389044,0,0
-7.55892e-05,0.000460345,0.0414144,0,0
-8.1014e-05,0.000454506,0.0439243,0,0
-8.64388e-05,0.000448241,0.0464343,0,0
-9.18634e-05,0.000441531,0.0489443,0,0
-9.72879e-05,0.000434356,0.0514542,0,0
-0.000102712,0.000426692,0.0539642,0,0
-0.000108137,0.000418514,0.0564741,0,0
-0.000113561,0.000409789,0.0589841,0,0
-0.000118985,0.000400482,0.0614941,0,0
-0.000124409,0.000390552,0.064004,0,0
-0.000129833,0.00037995,0.066514,0,0
-0.000135257,0.000368618,0.069024,0,0
-0.00014068,0.000356486,0.0715339,0,0
-0.000146104,0.00034347,0.0740439,0,0
-0.000151527,0.000329466,0.0765538,0,0
-0.00015695,0.00031434,0.0790638,0,0
-0.000162373,0.000297924,0.0815738,0,0
-0.000167796,0.00027999,0.0840837,0,0
-0.000173218,0.000260226,0.0865937,0,0
-0.000178639,0.00023818,0.0891037,0,0
-0.00018406,0.000213131,0.0916136,0,0
-0.000189424,0.000183948,0.0941236,0,0
-0.000194695,0.000147683,0.0966335,0,0
-0.000197352,0.000101686,0.0991435,0,0
